,Name,Email,Phone Number
0,Jane Doe,janedoe@gmail.com,(786)-974-1856
1,Jane Doe ,janedoecontact@gmail.com,(786)  974 - 1856
2,,janedoebrother@yahoo.com,785-741-9741
3,William Ma,email.with.periods@atlantic.net,352 727 8118
4,,hyphen-address@website.com,1234675645
5,Phil Swift,,
6,,user+possiblesuffix@gmail.com,333-2451515
7,Johnny Start,dkg%2@gmail.com,
8,Bill Paxton ,,
9,Jessica Belle ,,
10,Jim Jones ,,
11,,,
12,,,
13,Ted,,
14,Tim,,
15,,,
16,Tim Walker ,,
17,Velma Louise ,,
18,John Jones John Hatchitt John,,
